date	temperature	sports_drink	soda	bottled_water	fruit_juice
2014/6/19	24.8	1.945646849	1.518718811	1.567174174	1.943877538
2014/6/20	24.6	1.966463322	1.545329299	1.505650982	2.085957329
2014/6/21	24.6	1.846906447	1.514347856	1.35478828	1.801932342
2014/6/22	22.5	1.817069059	1.525587187	1.374285249	1.747866804
2014/6/23	24.2	1.590614649	1.312986215	1.313111918	1.643035152
2014/6/24	22.6	1.719020538	1.449692929	1.446132078	1.835564143
2014/6/25	22.6	1.585553229	1.367875571	1.418808727	1.660200508
2014/6/26	23.6	1.699739227	1.462240351	1.486453916	1.731788761
2014/6/27	23.9	1.756493188	1.473117537	1.540061724	1.881691097
2014/6/28	22.8	1.640757428	1.357919547	1.330587195	1.747906337
2014/6/29	23.3	1.561542541	1.286484484	1.25802658	1.633306164
2014/6/30	23.6	1.472242957	1.258514656	1.291968033	1.622093334
2014/7/1	25.3	1.76599109	1.503544309	1.447043032	1.764335541
2014/7/2	25.8	1.846473143	1.634538655	1.532963736	1.907852289
2014/7/3	24.8	1.958057338	1.625007056	1.611816054	1.876922696
2014/7/4	21.6	1.782948359	1.449051856	1.502351975	1.774048247
2014/7/5	22	1.501446883	1.188618408	1.302528022	1.620594664
2014/7/6	24.2	1.489237946	1.231223705	1.327773094	1.58576145
2014/7/7	23.4	1.522913133	1.217815583	1.350611469	1.695400879
2014/7/8	26.8	1.702440943	1.324153337	1.439457585	1.841540328
2014/7/9	24.2	1.804782248	1.512768476	1.53757621	1.945218092
2014/7/10	26.6	1.873876842	1.472994054	1.547406046	1.823433697
2014/7/11	28.5	2.128841909	1.526531338	1.617870916	1.888680969
2014/7/12	29.2	2.509138693	1.652643929	1.673884825	2.173123215
2014/7/13	26.9	2.31979057	1.677041843	1.716367139	2.173626577
2014/7/14	28.5	2.306582642	1.544823872	1.632948131	1.991153819
2014/7/15	28.2	2.555756141	1.85496343	1.781929422	2.174627842
2014/7/16	28	2.654206293	1.865469809	1.833609527	2.254021089
2014/7/17	27.1	2.647371055	1.839539151	1.864748631	2.140984398
2014/7/18	24.9	2.07432105	1.69950746	1.579063826	1.994055339
2014/7/19	23.8	1.90691195	1.485478844	1.5084614	1.86832418
2014/7/20	24.5	1.703587829	1.364614779	1.324009431	1.763870213
2014/7/21	25	1.706606411	1.358246012	1.342289194	1.71359201
